listing_id,neighbourhood,property_area_sqft,property_age_years,listing_price_inr
PR0001,Riverside,801,2,6176709
PR0002,Tech_Park,2154,33,13293026
PR0003,Tech_Park,2058,29,12785154
PR0004,Central,918,1,8683451
PR0005,Central,1167,11,9760999
PR0006,Riverside,687,33,3988356
PR0007,Tech_Park,1087,3,8665652
PR0008,University,1262,3,7363530
PR0009,Riverside,998,32,6476347
PR0010,Riverside,1868,33,12412503
PR0011,Suburb,722,5,3656025
PR0012,Central,2559,34,16530243
PR0013,Tech_Park,1841,17,12736277
PR0014,Suburb,2073,27,9258285
PR0015,University,1008,15,5738655
PR0016,University,949,14,5249747
PR0017,Central,1513,29,10863603
PR0018,Suburb,2266,31,9905175
PR0019,University,2154,25,10919036
PR0020,Suburb,2358,25,11336283
PR0021,Tech_Park,1816,26,11656858
PR0022,Riverside,1742,26,11635538
PR0023,University,1288,6,7816115
PR0024,Suburb,1639,18,7572489
PR0025,Tech_Park,2212,24,14287106
PR0026,Central,2528,3,20907636
PR0027,,2523,28,
PR0028,Riverside,2021,28,14014806
PR0029,Suburb,1321,16,5900753
PR0030,Riverside,1516,2,12331857
PR0031,Tech_Park,1024,7,6941359
PR0032,Riverside,1550,10,11882629
PR0033,Tech_Park,2209,27,14809957
PR0034,Central,1440,34,9789751
PR0035,Central,1751,28,11718937
PR0036,University,666,4,4585132
PR0037,Tech_Park,1937,7,14630964
PR0038,Riverside,1247,18,8615374
PR0039,University,734,0,4437511
PR0040,Central,2298,23,16251618
PR0041,Suburb,1436,35,5929095
PR0042,Suburb,1207,27,4924373
PR0043,Suburb,1524,12,7136856
PR0044,Tech_Park,1658,9,12235574
PR0045,Riverside,1381,28,8866817
PR0046,University,1484,19,8307684
PR0047,Central,2003,7,15984077
PR0048,Suburb,1724,9,8907320
PR0049,Suburb,2143,26,9692116
PR0050,Tech_Park,662,8,5064338
PR0051,Suburb,1723,29,7471612
PR0052,Suburb,1836,0,10062962
PR0053,University,1934,7,11198955
PR0054,Suburb,2349,35,9448346
PR0055,University,610,26,3274992
PR0056,Riverside,874,10,6154843
PR0057,Riverside,999,9,8492401
PR0058,Riverside,2249,24,16408396
PR0059,Riverside,651,12,5095776
PR0060,Central,1565,15,12831614
PR0061,Central,2434,9,18686503
PR0062,University,2584,30,14009407
PR0063,University,994,3,6055084
PR0064,Central,2489,12,20388363
PR0065,Central,2210,20,16633755
PR0066,Central,1770,32,12145035
PR0067,University,1502,20,7650560
PR0068,Suburb,975,26,4012079
PR0069,University,1056,22,6296690
PR0070,Suburb,1045,16,5074256
PR0071,Tech_Park,1602,12,10444970
PR0072,Central,975,16,7986114
PR0073,Tech_Park,1239,6,8480930
PR0074,Suburb,946,21,4705598
PR0075,Riverside,2595,4,19827007
PR0076,Central,992,7,8056930
PR0077,Tech_Park,2487,4,20688123
PR0078,University,1912,32,9333841
PR0079,Tech_Park,1084,21,7140504
PR0080,Central,2118,4,16759643
PR0081,Suburb,2396,29,11023360
PR0082,Central,1158,33,7292105
PR0083,Tech_Park,1540,33,9598075
PR0084,Riverside,1107,10,7935319
PR0085,Central,1650,31,12263242
PR0086,Suburb,2331,11,12934463
PR0087,Riverside,1633,5,14261292
PR0088,Central,2252,6,18509853
PR0089,University,2529,35,12461239
PR0090,Central,1838,17,15877773
PR0091,Suburb,1473,29,6671691
PR0092,Riverside,979,21,7243078
PR0093,Tech_Park,1912,20,13210764
PR0094,Central,2210,14,16857183
PR0095,Riverside,862,30,4991901
PR0096,Central,898,15,7373137
PR0097,Central,1541,12,13807391
PR0098,University,1914,33,8670047
PR0099,Riverside,647,21,4443768
PR0100,Central,1405,29,10322145
PR0101,Central,954,12,7516156
PR0102,Central,2267,35,14011405
PR0103,University,1646,0,10948755
PR0104,Suburb,2097,11,10122711
PR0105,University,1087,31,5003238
PR0106,Central,1192,32,7958319
PR0107,Suburb,1496,14,7420164
PR0108,Central,1416,26,11170751
PR0109,Riverside,751,18,5364060
PR0110,Suburb,1569,0,
PR0111,Central,1120,8,9428535
PR0112,Tech_Park,1396,10,11121025
PR0113,Central,1393,5,11994785
PR0114,Tech_Park,807,22,4775871
PR0115,Central,1682,19,13785998
PR0116,Riverside,1301,35,7802817
PR0117,Riverside,1988,8,16346551
PR0118,Suburb,798,33,3007764
PR0119,Suburb,1857,2,9919070
PR0120,Tech_Park,2002,25,11426601
PR0088,Central,2252,6,18509853
PR0004,Central,918,1,8683451
PR0071,Tech_Park,1602,12,10444970
