date,ticket_type,weather,special_exhibition,visitor_count
2026-04-01,Senior,Cloudy,Science,269
2026-05-07,Child,Cloudy,Art,317
2026-04-15,Student,Cloudy,Art,351
2026-03-24,Child,Rainy,Art,243
2026-04-03,Senior,Rainy,Science,279
2026-07-26,Student,Rainy,Art,473
2026-07-26,Adult,Rainy,None,308
2026-03-22,Student,Cloudy,History,324
2026-01-30,Adult,Rainy,Science,338
2026-04-07,Student,Cloudy,History,386
2026-03-08,Student,Cloudy,History,293
2026-04-10,Child,Rainy,Science,160
2026-06-25,Adult,Cloudy,Science,298
2026-01-26,Senior,Rainy,None,197
2026-02-11,Senior,Rainy,None,122
2026-06-19,Student,Sunny,Art,300
2026-02-21,Adult,Sunny,Art,440
2026-04-16,Child,Cloudy,History,358
2026-07-02,Adult,Rainy,History,250
2026-01-10,Child,Rainy,History,410
2026-03-12,Student,Cloudy,Science,306
2026-02-07,Senior,Cloudy,Science,418
2026-05-28,Child,Rainy,History,292
2026-07-25,Senior,Cloudy,Science,377
2026-02-19,Senior,Rainy,Art,200
2026-01-04,Student,Cloudy,History,395
2026-02-24,Student,Rainy,History,248
2026-05-04,Student,Sunny,Art,331
2026-07-12,Senior,Rainy,History,333
2026-06-20,Senior,Rainy,None,182
2026-02-15,Child,Rainy,History,320
2026-03-09,Senior,Rainy,Science,296
2026-05-01,Child,Rainy,Art,192
2026-04-24,Senior,Sunny,Science,280
2026-06-18,Adult,Sunny,History,365
2026-07-02,Senior,Cloudy,Art,330
2026-04-26,Student,Rainy,Science,328
2026-04-02,Student,Cloudy,Art,311
2026-05-05,Senior,Sunny,None,298
2026-03-13,Student,Sunny,Science,285
2026-04-13,Child,Rainy,History,303
2026-07-07,Student,Sunny,Art,351
2026-03-07,Adult,Rainy,History,313
2026-02-19,Adult,Cloudy,Science,294
2026-01-21,Student,Sunny,Science,388
2026-05-31,Senior,Rainy,History,379
2026-03-23,Adult,Cloudy,Art,232
2026-05-11,Adult,Sunny,None,368
2026-02-13,Senior,Cloudy,Science,273
2026-07-14,Child,Sunny,Art,404
2026-06-02,Student,Sunny,Art,302
2026-03-30,Senior,Cloudy,Science,261
2026-02-21,Child,Sunny,Art,399
2026-05-06,Senior,Cloudy,Science,314
2026-07-16,Student,Sunny,History,265
2026-07-02,Adult,Rainy,Art,268
2026-03-03,Senior,Sunny,None,284
2026-07-14,Child,,Art,305
2026-01-07,Senior,Rainy,Science,215
2026-05-01,Child,Rainy,History,314
2026-04-12,Adult,Cloudy,History,451
2026-06-24,Senior,Cloudy,None,190
2026-04-24,Child,Rainy,Art,221
2026-02-12,Student,Rainy,History,358
2026-01-21,Child,Rainy,History,232
2026-07-11,Child,Sunny,Art,399
2026-07-03,Student,Sunny,History,417
2026-06-26,Student,Sunny,None,332
2026-03-18,Senior,Cloudy,Science,269
2026-06-01,Student,Cloudy,None,284
2026-06-25,Adult,Cloudy,Art,266
2026-06-25,Child,Cloudy,History,393
2026-06-18,Child,Rainy,None,112
2026-05-20,Senior,Sunny,Art,350
2026-01-04,Student,Sunny,Art,434
2026-04-04,Senior,Cloudy,Art,431
2026-07-19,Child,Cloudy,Art,447
2026-07-04,Student,Sunny,Science,398
2026-02-23,Student,Sunny,Art,356
2026-02-19,Senior,,History,254
2026-02-19,Adult,Sunny,History,331
2026-04-13,Child,Cloudy,None,218
2026-05-23,Adult,Cloudy,None,299
2026-03-06,Child,Sunny,Art,419
2026-04-23,Adult,Sunny,History,240
2026-03-29,Senior,Cloudy,Art,391
2026-01-01,Child,Rainy,History,242
2026-02-21,Child,Cloudy,Art,343
2026-06-18,Adult,Sunny,Science,351
2026-07-02,Senior,Cloudy,Art,212
2026-02-25,Student,Sunny,Science,424
2026-01-04,Adult,Rainy,Art,351
2026-03-19,Child,Sunny,Art,341
2026-07-09,Child,Sunny,History,336
2026-07-30,Child,Cloudy,None,292
2026-07-16,Senior,Sunny,Science,353
2026-06-06,Adult,Cloudy,None,294
2026-05-03,Child,Rainy,Science,264
2026-07-02,Senior,Rainy,History,303
2026-01-24,Student,Cloudy,None,359
2026-02-15,Adult,Cloudy,History,299
2026-04-06,Student,Cloudy,Science,330
2026-02-19,Senior,Sunny,Science,328
2026-07-19,Student,Rainy,None,231
2026-07-30,Student,Rainy,None,131
2026-04-23,Senior,Rainy,Science,273
2026-01-21,Adult,Sunny,History,334
2026-01-21,Adult,Rainy,History,328
2026-03-13,Child,Cloudy,Art,298
2026-02-26,Child,Sunny,Science,244
2026-03-18,Senior,Sunny,None,331
2026-01-04,Child,Rainy,Science,310
2026-05-23,Senior,Rainy,None,251
2026-07-19,Adult,Rainy,History,265
2026-02-28,Child,Sunny,None,331
2026-04-09,Student,Rainy,Science,170
2026-02-06,Student,Sunny,None,258
2026-04-16,Student,Cloudy,History,271
2026-03-12,Adult,Sunny,Art,380
2026-07-26,,Sunny,None,315
2026-02-07,Senior,Cloudy,Science,418
2026-05-01,Child,Rainy,History,314
2026-01-04,Student,Sunny,Art,434
